DateTime,AddedIPs,RemovedIPs
1522639710,10,3
1522641406,9,9
1522642232,0,6
1522644192,16,13
1522645019,4,8
1522645849,6,2
1522647775,10,15
1522649679,14,16
1522650511,5,0
1522651397,8,22
1522652202,5,13
1522653048,4,3
1522654976,21,32
1522656857,23,16
1522658741,30,26
1522659809,11,39
1522662064,20,120
1522663172,13,60
1522664073,14,4
1522664914,16,4
1522665732,9,35
1522666892,23,14
1522667683,14,4
1522669045,17,15
1522670102,12,17
1522671058,12,3
1522671893,14,2
1522672833,15,11
1522672968,3,0
1522673816,6,20
1522674646,11,1
1522676556,24,18
1522678244,28,20
1522679775,15,25
1522680177,4,3
1522680996,9,1
1522681844,14,15
1522683048,9,26
1522684111,10,5
1522684999,7,9
1522686515,13,6
1522687355,16,20
1522688873,20,13
1522691148,35,14
1522693714,44,15
1522694872,11,25
1522697317,20,21
1522698961,20,26
1522699859,13,2
1522701088,14,19
1522701946,12,1
1522703698,16,22
1522704962,9,15
1522705908,14,4
1522706858,13,11
1522707826,10,2
1522708969,10,20
1522710874,22,19
1522711725,4,0
1522712764,21,18
1522714223,23,11
1522715124,9,4
1522716063,13,23
1522717010,9,4
1522717864,6,12
1522719066,19,16
1522719945,10,6
1522720596,9,11
1522721448,9,2
1522723358,13,22
1522725276,23,17
1522726238,7,34
1522727435,14,14
1522728663,8,14
1522729932,39,6
1522730760,6,6
1522732041,5,6
1522732889,43,0
1522734171,15,20
1522736469,17,16
1522737962,13,18
1522739449,10,9
1522739677,5,0
1522740702,4,16
1522741582,4,2
1522742193,4,13
1522743062,18,1
1522744257,5,23
1522745078,7,4
1522745795,13,15
1522746919,14,1
1522747849,7,7
1522748657,14,2
1522749884,12,24
1522750715,4,1
1522751736,4,19
1522752821,17,2
1522753850,10,19
1522754740,10,2
1522755760,26,16
1522757682,20,17
1522758637,9,11
1522759352,8,2
1522760209,9,7
1522761045,8,2
1522762120,13,1
1522763142,4,12
1522764117,6,6
1522764871,3,3
1522765862,8,13
1522766551,3,1
1522767397,9,0
1522768235,4,11
1522769143,7,1
1522770031,4,24
1522770998,11,11
1522772071,5,2
1522773043,8,18
1522774596,9,9
1522775681,13,11
1522777362,28,20
1522778264,11,20
1522779348,10,2
1522780241,5,9
1522780959,2,4
1522782177,3,16
1522785081,20,11
1522785991,9,10
1522786470,2,3
1522787732,9,11
1522789203,16,6
1522790126,9,1
1522791658,14,11
1522793681,29,6
1522794502,4,2
1522797049,24,14
1522798246,12,8
1522800404,17,9
1522801249,8,0
1522802151,10,9
1522803179,17,4
1522804244,9,2
1522805269,14,3
1522806176,9,14
1522806992,6,6
1522809934,41,13
1522811688,23,9
1522812654,6,15
1522813542,8,3
1522815047,12,12
1522815930,6,2
1522816952,12,11
1522817808,10,10
1522818649,4,2
1522821399,25,23
1522822242,11,3
1522823742,18,27
1522825850,32,14
1522826794,10,2
1522827762,21,22
1522828592,7,19
1522829447,11,2
1522830670,19,15
1522831352,10,4
1522832475,19,16
1522833351,21,0
1522834531,16,30
1522835739,15,3
1522836879,18,13
